"population","state","year"
7218529,"NSW",2011
5537817,"Vic",2011
4476778,"Qld",2011
1639614,"SA",2011
2353409,"WA",2011
511483,"Tas",2011
231292,"NT",2011
367985,"ACT",2011
7304244,"NSW",2012
5651091,"Vic",2012
4568687,"Qld",2012
1656725,"SA",2012
2425507,"WA",2012
511724,"Tas",2012
235915,"NT",2012
376539,"ACT",2012
7404032,"NSW",2013
5772669,"Vic",2013
4652824,"Qld",2013
1671488,"SA",2013
2486944,"WA",2013
512231,"Tas",2013
241722,"NT",2013
383257,"ACT",2013
7508353,"NSW",2014
5894917,"Vic",2014
4719653,"Qld",2014
1686945,"SA",2014
2517608,"WA",2014
513621,"Tas",2014
242894,"NT",2014
388799,"ACT",2014
7616168,"NSW",2015
6022322,"Vic",2015
4777692,"Qld",2015
1700668,"SA",2015
2540672,"WA",2015
515117,"Tas",2015
244692,"NT",2015
395813,"ACT",2015
7732858,"NSW",2016
6173172,"Vic",2016
4845152,"Qld",2016
1712843,"SA",2016
2555978,"WA",2016
517514,"Tas",2016
245678,"NT",2016
403104,"ACT",2016
7855316,"NSW",2017
6302608,"Vic",2017
4926380,"Qld",2017
1728673,"SA",2017
2585720,"WA",2017
526762,"Tas",2017
247412,"NT",2017
415046,"ACT",2017
7954476,"NSW",2018
6423038,"Vic",2018
5006623,"Qld",2018
1746137,"SA",2018
2617792,"WA",2018
537291,"Tas",2018
247095,"NT",2018
426081,"ACT",2018
8046748,"NSW",2019
6537305,"Vic",2019
5088847,"Qld",2019
1767395,"SA",2019
2659625,"WA",2019
547841,"Tas",2019
246559,"NT",2019
435730,"ACT",2019
8110610,"NSW",2020
6615046,"Vic",2020
5165613,"Qld",2020
1790355,"SA",2020
2712912,"WA",2020
557578,"Tas",2020
247428,"NT",2020
444903,"ACT",2020
8097062,"NSW",2021
6547822,"Vic",2021
5215814,"Qld",2021
1802601,"SA",2021
2749365,"WA",2021
567239,"Tas",2021
248151,"NT",2021
452508,"ACT",2021
