"year","age_group","state","cases"
2011,"0-7","ACT",5
2011,"0-7","NSW",204
2011,"0-7","NT",7
2011,"0-7","Qld",197
2011,"0-7","SA",44
2011,"0-7","Tas",20
2011,"0-7","Vic",149
2011,"0-7","WA",84
2011,"17-25","ACT",118
2011,"17-25","NSW",2502
2011,"17-25","NT",119
2011,"17-25","Qld",1499
2011,"17-25","SA",527
2011,"17-25","Tas",126
2011,"17-25","Vic",2147
2011,"17-25","WA",856
2011,"26-39","ACT",142
2011,"26-39","NSW",2462
2011,"26-39","NT",134
2011,"26-39","Qld",1457
2011,"26-39","SA",541
2011,"26-39","Tas",97
2011,"26-39","Vic",2358
2011,"26-39","WA",823
2011,"40-64","ACT",177
2011,"40-64","NSW",3352
2011,"40-64","NT",124
2011,"40-64","Qld",1936
2011,"40-64","SA",774
2011,"40-64","Tas",143
2011,"40-64","Vic",3014
2011,"40-64","WA",1048
2011,"65-74","ACT",10
2011,"65-74","NSW",655
2011,"65-74","NT",8
2011,"65-74","Qld",330
2011,"65-74","SA",143
2011,"65-74","Tas",27
2011,"65-74","Vic",581
2011,"65-74","WA",183
2011,"75+","NSW",688
2011,"75+","Qld",271
2011,"75+","SA",169
2011,"75+","Tas",34
2011,"75+","Vic",544
2011,"75+","WA",154
2011,"8-16","ACT",38
2011,"8-16","NSW",755
2011,"8-16","NT",54
2011,"8-16","Qld",632
2011,"8-16","SA",161
2011,"8-16","Tas",46
2011,"8-16","Vic",533
2011,"8-16","WA",294
2012,"0-7","NSW",246
2012,"0-7","Qld",193
2012,"0-7","SA",40
2012,"0-7","Tas",19
2012,"0-7","Vic",126
2012,"0-7","WA",93
2012,"17-25","ACT",141
2012,"17-25","NSW",2516
2012,"17-25","NT",121
2012,"17-25","Qld",1647
2012,"17-25","SA",538
2012,"17-25","Tas",134
2012,"17-25","Vic",1891
2012,"17-25","WA",820
2012,"26-39","ACT",157
2012,"26-39","NSW",2640
2012,"26-39","NT",150
2012,"26-39","Qld",1593
2012,"26-39","SA",468
2012,"26-39","Tas",102
2012,"26-39","Vic",2050
2012,"26-39","WA",902
2012,"40-64","ACT",205
2012,"40-64","NSW",3591
2012,"40-64","NT",143
2012,"40-64","Qld",2139
2012,"40-64","SA",760
2012,"40-64","Tas",170
2012,"40-64","Vic",2531
2012,"40-64","WA",1028
2012,"65-74","ACT",7
2012,"65-74","NSW",664
2012,"65-74","NT",12
2012,"65-74","Qld",369
2012,"65-74","SA",150
2012,"65-74","Tas",27
2012,"65-74","Vic",526
2012,"65-74","WA",150
2012,"75+","NSW",705
2012,"75+","Qld",310
2012,"75+","SA",216
2012,"75+","Tas",42
2012,"75+","Vic",552
2012,"75+","WA",186
2012,"8-16","ACT",36
2012,"8-16","NSW",759
2012,"8-16","NT",46
2012,"8-16","Qld",562
2012,"8-16","SA",139
2012,"8-16","Tas",42
2012,"8-16","Vic",422
2012,"8-16","WA",314
2013,"0-7","NSW",238
2013,"0-7","Qld",217
2013,"0-7","SA",34
2013,"0-7","Tas",8
2013,"0-7","Vic",128
2013,"0-7","WA",70
2013,"17-25","ACT",109
2013,"17-25","NSW",2545
2013,"17-25","NT",149
2013,"17-25","Qld",1720
2013,"17-25","SA",461
2013,"17-25","Tas",135
2013,"17-25","Vic",1679
2013,"17-25","WA",816
2013,"26-39","ACT",160
2013,"26-39","NSW",2625
2013,"26-39","NT",166
2013,"26-39","Qld",1841
2013,"26-39","SA",508
2013,"26-39","Tas",122
2013,"26-39","Vic",1928
2013,"26-39","WA",929
2013,"40-64","ACT",204
2013,"40-64","NSW",3733
2013,"40-64","NT",146
2013,"40-64","Qld",2603
2013,"40-64","SA",735
2013,"40-64","Tas",162
2013,"40-64","Vic",2605
2013,"40-64","WA",1061
2013,"65-74","ACT",34
2013,"65-74","NSW",773
2013,"65-74","NT",15
2013,"65-74","Qld",426
2013,"65-74","SA",129
2013,"65-74","Tas",45
2013,"65-74","Vic",536
2013,"65-74","WA",180
2013,"75+","NSW",736
2013,"75+","Qld",355
2013,"75+","SA",178
2013,"75+","Tas",15
2013,"75+","Vic",547
2013,"75+","WA",153
2013,"8-16","ACT",26
2013,"8-16","NSW",771
2013,"8-16","NT",60
2013,"8-16","Qld",659
2013,"8-16","SA",176
2013,"8-16","Tas",48
2013,"8-16","Vic",361
2013,"8-16","WA",266
2014,"0-7","ACT",6
2014,"0-7","NSW",217
2014,"0-7","Qld",216
2014,"0-7","SA",45
2014,"0-7","Tas",7
2014,"0-7","Vic",137
2014,"0-7","WA",79
2014,"17-25","ACT",123
2014,"17-25","NSW",2328
2014,"17-25","NT",154
2014,"17-25","Qld",1751
2014,"17-25","SA",509
2014,"17-25","Tas",136
2014,"17-25","Vic",1807
2014,"17-25","WA",675
2014,"26-39","ACT",147
2014,"26-39","NSW",2702
2014,"26-39","NT",172
2014,"26-39","Qld",1819
2014,"26-39","SA",521
2014,"26-39","Tas",149
2014,"26-39","Vic",2092
2014,"26-39","WA",834
2014,"40-64","ACT",171
2014,"40-64","NSW",3749
2014,"40-64","NT",165
2014,"40-64","Qld",2546
2014,"40-64","SA",836
2014,"40-64","Tas",207
2014,"40-64","Vic",2870
2014,"40-64","WA",1004
2014,"65-74","ACT",30
2014,"65-74","NSW",842
2014,"65-74","NT",10
2014,"65-74","Qld",457
2014,"65-74","SA",152
2014,"65-74","Tas",16
2014,"65-74","Vic",619
2014,"65-74","WA",169
2014,"75+","ACT",13
2014,"75+","NSW",816
2014,"75+","NT",7
2014,"75+","Qld",343
2014,"75+","SA",171
2014,"75+","Tas",59
2014,"75+","Vic",555
2014,"75+","WA",149
2014,"8-16","ACT",33
2014,"8-16","NSW",659
2014,"8-16","NT",48
2014,"8-16","Qld",593
2014,"8-16","SA",147
2014,"8-16","Tas",50
2014,"8-16","Vic",443
2014,"8-16","WA",244
2015,"0-7","ACT",7
2015,"0-7","NSW",212
2015,"0-7","NT",6
2015,"0-7","Qld",206
2015,"0-7","SA",37
2015,"0-7","Vic",167
2015,"0-7","WA",90
2015,"17-25","ACT",130
2015,"17-25","NSW",2402
2015,"17-25","NT",157
2015,"17-25","Qld",1769
2015,"17-25","SA",482
2015,"17-25","Tas",157
2015,"17-25","Vic",1829
2015,"17-25","WA",655
2015,"26-39","ACT",171
2015,"26-39","NSW",2563
2015,"26-39","NT",197
2015,"26-39","Qld",1928
2015,"26-39","SA",550
2015,"26-39","Tas",160
2015,"26-39","Vic",2351
2015,"26-39","WA",803
2015,"40-64","ACT",250
2015,"40-64","NSW",3679
2015,"40-64","NT",241
2015,"40-64","Qld",2780
2015,"40-64","SA",856
2015,"40-64","Tas",218
2015,"40-64","Vic",3031
2015,"40-64","WA",994
2015,"65-74","ACT",52
2015,"65-74","NSW",786
2015,"65-74","NT",14
2015,"65-74","Qld",517
2015,"65-74","SA",178
2015,"65-74","Tas",44
2015,"65-74","Vic",662
2015,"65-74","WA",183
2015,"75+","ACT",31
2015,"75+","NSW",790
2015,"75+","NT",7
2015,"75+","Qld",445
2015,"75+","SA",205
2015,"75+","Vic",646
2015,"75+","WA",171
2015,"8-16","ACT",43
2015,"8-16","NSW",652
2015,"8-16","NT",57
2015,"8-16","Qld",661
2015,"8-16","SA",159
2015,"8-16","Tas",52
2015,"8-16","Vic",512
2015,"8-16","WA",287
2016,"0-7","ACT",12
2016,"0-7","NSW",174
2016,"0-7","NT",8
2016,"0-7","Qld",201
2016,"0-7","SA",50
2016,"0-7","Tas",11
2016,"0-7","Vic",173
2016,"0-7","WA",82
2016,"17-25","ACT",138
2016,"17-25","NSW",2415
2016,"17-25","NT",197
2016,"17-25","Qld",2021
2016,"17-25","SA",565
2016,"17-25","Tas",182
2016,"17-25","Vic",2125
2016,"17-25","WA",577
2016,"26-39","ACT",154
2016,"26-39","NSW",2713
2016,"26-39","NT",198
2016,"26-39","Qld",2065
2016,"26-39","SA",561
2016,"26-39","Tas",128
2016,"26-39","Vic",2649
2016,"26-39","WA",743
2016,"40-64","ACT",214
2016,"40-64","NSW",3835
2016,"40-64","NT",192
2016,"40-64","Qld",2785
2016,"40-64","SA",877
2016,"40-64","Tas",184
2016,"40-64","Vic",3487
2016,"40-64","WA",1022
2016,"65-74","ACT",28
2016,"65-74","NSW",832
2016,"65-74","NT",11
2016,"65-74","Qld",553
2016,"65-74","SA",224
2016,"65-74","Tas",46
2016,"65-74","Vic",725
2016,"65-74","WA",187
2016,"75+","ACT",43
2016,"75+","NSW",800
2016,"75+","NT",13
2016,"75+","Qld",433
2016,"75+","SA",222
2016,"75+","Tas",46
2016,"75+","Vic",673
2016,"75+","WA",163
2016,"8-16","ACT",51
2016,"8-16","NSW",705
2016,"8-16","NT",61
2016,"8-16","Qld",644
2016,"8-16","SA",155
2016,"8-16","Tas",60
2016,"8-16","Vic",528
2016,"8-16","WA",257
2017,"0-7","NSW",190
2017,"0-7","NT",20
2017,"0-7","Qld",217
2017,"0-7","SA",40
2017,"0-7","Vic",193
2017,"0-7","WA",63
2017,"17-25","ACT",113
2017,"17-25","NSW",2393
2017,"17-25","NT",179
2017,"17-25","Qld",2041
2017,"17-25","SA",463
2017,"17-25","Tas",149
2017,"17-25","Vic",2212
2017,"17-25","WA",612
2017,"26-39","ACT",153
2017,"26-39","NSW",2510
2017,"26-39","NT",197
2017,"26-39","Qld",2142
2017,"26-39","SA",525
2017,"26-39","Tas",104
2017,"26-39","Vic",2763
2017,"26-39","WA",804
2017,"40-64","ACT",237
2017,"40-64","NSW",3647
2017,"40-64","NT",204
2017,"40-64","Qld",3004
2017,"40-64","SA",791
2017,"40-64","Tas",233
2017,"40-64","Vic",3607
2017,"40-64","WA",1080
2017,"65-74","ACT",42
2017,"65-74","NSW",847
2017,"65-74","NT",30
2017,"65-74","Qld",580
2017,"65-74","SA",205
2017,"65-74","Tas",68
2017,"65-74","Vic",784
2017,"65-74","WA",177
2017,"75+","NSW",799
2017,"75+","NT",17
2017,"75+","Qld",451
2017,"75+","SA",220
2017,"75+","Vic",661
2017,"75+","WA",171
2017,"8-16","ACT",40
2017,"8-16","NSW",630
2017,"8-16","NT",56
2017,"8-16","Qld",699
2017,"8-16","SA",150
2017,"8-16","Tas",50
2017,"8-16","Vic",574
2017,"8-16","WA",288
2018,"0-7","ACT",14
2018,"0-7","NSW",130
2018,"0-7","NT",12
2018,"0-7","Qld",204
2018,"0-7","SA",36
2018,"0-7","Tas",8
2018,"0-7","Vic",228
2018,"0-7","WA",76
2018,"17-25","ACT",143
2018,"17-25","NSW",1974
2018,"17-25","NT",221
2018,"17-25","Qld",2061
2018,"17-25","SA",482
2018,"17-25","Tas",164
2018,"17-25","Vic",2311
2018,"17-25","WA",627
2018,"26-39","ACT",171
2018,"26-39","NSW",2285
2018,"26-39","NT",256
2018,"26-39","Qld",2286
2018,"26-39","SA",572
2018,"26-39","Tas",161
2018,"26-39","Vic",2862
2018,"26-39","WA",808
2018,"40-64","ACT",248
2018,"40-64","NSW",3283
2018,"40-64","NT",241
2018,"40-64","Qld",3052
2018,"40-64","SA",853
2018,"40-64","Tas",266
2018,"40-64","Vic",3780
2018,"40-64","WA",1111
2018,"65-74","ACT",50
2018,"65-74","NSW",779
2018,"65-74","NT",21
2018,"65-74","Qld",621
2018,"65-74","SA",180
2018,"65-74","Tas",69
2018,"65-74","Vic",900
2018,"65-74","WA",217
2018,"75+","ACT",49
2018,"75+","NSW",781
2018,"75+","NT",7
2018,"75+","Qld",486
2018,"75+","SA",187
2018,"75+","Tas",30
2018,"75+","Vic",795
2018,"75+","WA",176
2018,"8-16","ACT",37
2018,"8-16","NSW",562
2018,"8-16","NT",66
2018,"8-16","Qld",671
2018,"8-16","SA",179
2018,"8-16","Tas",54
2018,"8-16","Vic",577
2018,"8-16","WA",259
2019,"0-7","NSW",149
2019,"0-7","NT",12
2019,"0-7","Qld",165
2019,"0-7","SA",53
2019,"0-7","Tas",8
2019,"0-7","Vic",183
2019,"0-7","WA",102
2019,"17-25","ACT",128
2019,"17-25","NSW",1950
2019,"17-25","NT",178
2019,"17-25","Qld",2004
2019,"17-25","SA",498
2019,"17-25","Tas",153
