"Year","state","cases","population","cases_per_100k"
2011,"ACT",537,367985,145.9
2011,"NSW",10618,7218529,147.1
2011,"NT",456,231292,197.2
2011,"Qld",6322,4476778,141.2
2011,"SA",2359,1639614,143.9
2011,"Tas",493,511483,96.4
2011,"Vic",9326,5537817,168.4
2011,"WA",3442,2353409,146.3
2012,"ACT",601,376539,159.6
2012,"NSW",11121,7304244,152.3
2012,"NT",496,235915,210.2
2012,"Qld",6813,4568687,149.1
2012,"SA",2311,1656725,139.5
2012,"Tas",536,511724,104.7
2012,"Vic",8098,5651091,143.3
2012,"WA",3493,2425507,144
2013,"ACT",573,383257,149.5
2013,"NSW",11421,7404032,154.3
2013,"NT",561,241722,232.1
2013,"Qld",7821,4652824,168.1
2013,"SA",2221,1671488,132.9
2013,"Tas",570,512231,111.3
2013,"Vic",7784,5772669,134.8
2013,"WA",3475,2486944,139.7
2014,"ACT",542,388799,139.4
2014,"NSW",11313,7508353,150.7
2014,"NT",575,242894,236.7
2014,"Qld",7725,4719653,163.7
2014,"SA",2381,1686945,141.1
2014,"Tas",646,513621,125.8
2014,"Vic",8523,5894917,144.6
2014,"WA",3154,2517608,125.3
2015,"ACT",700,395813,176.9
2015,"NSW",11084,7616168,145.5
2015,"NT",691,244692,282.4
2015,"Qld",8306,4777692,173.8
2015,"SA",2467,1700668,145.1
2015,"Tas",677,515117,131.4
2015,"Vic",9198,6022322,152.7
2015,"WA",3183,2540672,125.3
2016,"ACT",654,403104,162.2
2016,"NSW",11474,7732858,148.4
2016,"NT",709,245678,288.6
2016,"Qld",8702,4845152,179.6
2016,"SA",2654,1712843,154.9
2016,"Tas",657,517514,127
2016,"Vic",10360,6173172,167.8
2016,"WA",3031,2555978,118.6
2017,"ACT",632,415046,152.3
2017,"NSW",11016,7855316,140.2
2017,"NT",703,247412,284.1
2017,"Qld",9134,4926380,185.4
2017,"SA",2394,1728673,138.5
2017,"Tas",659,526762,125.1
2017,"Vic",10794,6302608,171.3
2017,"WA",3195,2585720,123.6
2018,"ACT",712,426081,167.1
2018,"NSW",9794,7954476,123.1
2018,"NT",832,247095,336.7
2018,"Qld",9381,5006623,187.4
2018,"SA",2489,1746137,142.5
2018,"Tas",781,537291,145.4
2018,"Vic",11453,6423038,178.3
2018,"WA",3274,2617792,125.1
2019,"ACT",665,435730,152.6
2019,"NSW",9942,8046748,123.6
2019,"NT",656,246559,266.1
2019,"Qld",9515,5088847,187
2019,"SA",2457,1767395,139
2019,"Tas",708,547841,129.2
2019,"Vic",11392,6537305,174.3
2019,"WA",3534,2659625,132.9
2020,"ACT",629,444903,141.4
2020,"NSW",9274,8110610,114.3
2020,"NT",787,247428,318.1
2020,"Qld",9801,5165613,189.7
2020,"SA",2503,1790355,139.8
2020,"Tas",778,557578,139.5
2020,"Vic",9884,6615046,149.4
2020,"WA",3636,2712912,134
2021,"ACT",740,452508,163.5
2021,"NSW",9003,8097062,111.2
2021,"NT",710,248151,286.1
2021,"Qld",10447,5215814,200.3
2021,"SA",2632,1802601,146
2021,"Tas",805,567239,141.9
2021,"Vic",11130,6547822,170
2021,"WA",3568,2749365,129.8
