"year","road_user","state","cases"
2011,"Bus occupant","NSW",90
2011,"Bus occupant","Qld",29
2011,"Bus occupant","SA",14
2011,"Bus occupant","Vic",39
2011,"Bus occupant","WA",26
2011,"Motorcyclist","ACT",144
2011,"Motorcyclist","NSW",2393
2011,"Motorcyclist","NT",106
2011,"Motorcyclist","Qld",1781
2011,"Motorcyclist","SA",460
2011,"Motorcyclist","Tas",129
2011,"Motorcyclist","Vic",1622
2011,"Motorcyclist","WA",867
2011,"Other or unknown","NSW",172
2011,"Other or unknown","NT",24
2011,"Other or unknown","Qld",143
2011,"Other or unknown","Vic",151
2011,"Other or unknown","WA",70
2011,"Pedal cyclist","ACT",149
2011,"Pedal cyclist","NSW",1487
2011,"Pedal cyclist","NT",62
2011,"Pedal cyclist","Qld",955
2011,"Pedal cyclist","SA",379
2011,"Pedal cyclist","Tas",73
2011,"Pedal cyclist","Vic",1687
2011,"Pedal cyclist","WA",530
2011,"Pedestrian","ACT",30
2011,"Pedestrian","NSW",967
2011,"Pedestrian","NT",44
2011,"Pedestrian","Qld",443
2011,"Pedestrian","SA",176
2011,"Pedestrian","Tas",45
2011,"Pedestrian","Vic",739
2011,"Pedestrian","WA",261
2012,"Bus occupant","NSW",91
2012,"Bus occupant","Qld",33
2012,"Bus occupant","SA",8
2012,"Bus occupant","Vic",33
2012,"Bus occupant","WA",24
2012,"Motorcyclist","ACT",144
2012,"Motorcyclist","NSW",2626
2012,"Motorcyclist","NT",118
2012,"Motorcyclist","Qld",1776
2012,"Motorcyclist","SA",451
2012,"Motorcyclist","Tas",124
2012,"Motorcyclist","Vic",1505
2012,"Motorcyclist","WA",909
2012,"Other or unknown","ACT",11
2012,"Other or unknown","NSW",133
2012,"Other or unknown","NT",13
2012,"Other or unknown","Qld",138
2012,"Other or unknown","SA",61
2012,"Other or unknown","Tas",7
2012,"Other or unknown","Vic",103
2012,"Other or unknown","WA",88
2012,"Pedal cyclist","ACT",173
2012,"Pedal cyclist","NSW",1667
2012,"Pedal cyclist","NT",45
2012,"Pedal cyclist","Qld",1054
2012,"Pedal cyclist","SA",401
2012,"Pedal cyclist","Tas",91
2012,"Pedal cyclist","Vic",1530
2012,"Pedal cyclist","WA",587
2012,"Pedestrian","ACT",27
2012,"Pedestrian","NSW",955
2012,"Pedestrian","NT",51
2012,"Pedestrian","Qld",416
2012,"Pedestrian","SA",196
2012,"Pedestrian","Tas",51
2012,"Pedestrian","Vic",675
2012,"Pedestrian","WA",242
